feature_list,Age_group,Jumlah
,18 - 24,2
Audio amplifier or sound booster,18 - 24,77
Audio amplifier or sound booster,25 - 34,4
Audio amplifier or sound booster,35 - 44,4
Audio amplifier or sound booster,45 - 54,3
Audio amplifier or sound booster,55 - 64,1
Audio amplifier or sound booster,Under 18,3
Detailed report generation,18 - 24,107
Detailed report generation,25 - 34,13
Detailed report generation,35 - 44,9
Detailed report generation,45 - 54,6
Detailed report generation,Under 18,5
Do's and don't in personalized manner ,18 - 24,1
Doctor consultation,18 - 24,142
Doctor consultation,25 - 34,12
Doctor consultation,35 - 44,14
Doctor consultation,45 - 54,9
Doctor consultation,55 - 64,1
Doctor consultation,Under 18,2
Earphone calibration,18 - 24,118
Earphone calibration,25 - 34,13
Earphone calibration,35 - 44,10
Earphone calibration,45 - 54,6
Earphone calibration,Under 18,5
Game-based interaction,18 - 24,129
Game-based interaction,25 - 34,9
Game-based interaction,35 - 44,9
Game-based interaction,45 - 54,7
Game-based interaction,55 - 64,1
Game-based interaction,Under 18,9
I could give you guys a tip though. I personally think this product will do well gloabally,18 - 24,1
I couldnt pick a feature because i am not a target audience for any of the above mentioned features,18 - 24,1
IDK,18 - 24,1
It would be good to suggest some excercise for proper hearing along with these selected parameters ,18 - 24,1
Nothing ,18 - 24,1
Personalized volume adjustments,18 - 24,101
Personalized volume adjustments,25 - 34,9
Personalized volume adjustments,35 - 44,9
Personalized volume adjustments,45 - 54,7
Personalized volume adjustments,Under 18,5
Quick tests,18 - 24,182
Quick tests,25 - 34,18
Quick tests,35 - 44,19
Quick tests,45 - 54,16
Quick tests,55 - 64,1
Quick tests,Under 18,8
Regular testing reminders,18 - 24,110
Regular testing reminders,25 - 34,11
Regular testing reminders,35 - 44,9
Regular testing reminders,45 - 54,10
Regular testing reminders,55 - 64,3
Regular testing reminders,Under 18,5
Report sharing options,18 - 24,63
Report sharing options,25 - 34,4
Report sharing options,35 - 44,6
Report sharing options,45 - 54,7
Report sharing options,Under 18,2
Soft guidance,18 - 24,113
Soft guidance,25 - 34,7
Soft guidance,35 - 44,13
Soft guidance,45 - 54,10
Soft guidance,55 - 64,1
Soft guidance,Under 18,4
Sound Frequency ,18 - 24,1
especially in developed countries. Lets take us people,18 - 24,1
no specific ,45 - 54,1
they spend 100s of dollars on their dental check. If you could convince that crowd to somehow use this and regularly monitor their ear health,18 - 24,1
they will be ready to pay so i suggest you target that crowd and build features surrounding it. ,18 - 24,1
